,User_name,Mention_name,Type
141,ShipOverseas,ShipOverseas,Tweet
142,AndrewHillEng,Futurist_Invest,RT
143,greenfriend_ly,washninja,Tweet
144,DailyCarsGB,DailyCarsGB,Tweet
145,LiveryVip,LiveryVip,Tweet
146,washninja,washninja,Tweet
147,autocarmove,autocarmove,Tweet
148,Lemonade_Ninja,washninja,Tweet
149,Graypaul_Eburgh,Graypaul_Eburgh,Tweet
150,Sudip2055,Sudip2055,Tweet
151,TheLoftsKnysna,Tourism_Update,Tweet
152,IconicCarColl,IconicCarColl,Tweet
153,harun_bukar,_alonethoughts_,Tweet
154,LuxeGetaways,LuxeGetaways,Tweet
155,LexusofLasVegas,LexusofLasVegas,Tweet
156,MaltecDetailing,tartan_tarmac,Tweet
157,GreenStreetRR3,LegendPorsche,RT
158,MDejtisak,MDejtisak,Tweet
159,LCclassics,LCclassics,Tweet
160,speedluxcom,speedluxcom,Tweet
161,SilverhillAcura,SilverhillAcura,Tweet
162,greenfriend_ly,washninja,Tweet
163,SelectAutoImpts,SelectAutoImpts,Tweet
164,thedumpiewonder,JeremyClarkson,Tweet
165,INFINITItucson,INFINITItucson,Tweet
166,INFINITItucson,INFINITItucson,Tweet
167,Fabspeed,Fabspeed,Tweet
168,ChiselSkin,ChiselSkin,Tweet
169,QuinAutoSA,QuinAutoSA,Tweet
170,aleya2411,aleya2411,Tweet
171,britishrent,britishrent,Tweet
172,cr2raw,911_Mag,RT
173,carsluxrs,Topazdetailing,Tweet
174,ThePCMG,ThePCMG,Tweet
175,BangaloreGps,BangaloreGps,Tweet
176,skylizers,skylizers,Tweet
177,AmeerLuqman15,carsluxrs,RT
178,autocarmove,autocarmove,Tweet
179,LiveryVip,LiveryVip,Tweet
180,JuliusM54109176,JuliusM54109176,Tweet
181,LCclassics,LCclassics,Tweet
182,vapegamer1,LegendPorsche,RT
183,dianneteashop,dianneteashop,Tweet
184,AVenet07,Volvopassion_fr,RT
185,contractcars,contractcars,Tweet
186,NormalGuySuperC,NormalGuySuperC,Tweet
187,Graypaul_Eburgh,Graypaul_Eburgh,Tweet
188,SelectAutoImpts,SelectAutoImpts,Tweet
189,aimanpietro,GazTankMotors,RT
190,wetcoastlife,wetcoastlife,Tweet
191,carsluxrs,CAR_LiFESTYLE,Tweet
192,sakanatsuki_com,zapautoexport,RT
193,SupercarsGarage,SupercarsGarage,Tweet
194,carsluxrs,AMG,Tweet
